customer_id,name,email,signup_date,location,segment,customer_age_days,last_purchase_date,frequency,monetary,avg_order_value,max_order_value,num_categories,preferred_category,recency_days,total_orders_raw,discount_order_rate,return_rate,avg_days_between_orders,is_churned,r_score,f_score,m_score,rfm_score,rfm_cell,rfm_segment,cluster,cluster_label
C0001,Betty Rodriguez,betty.rodriguez1@example.com,2021-01-13,Houston,Premium,1083,2023-11-26,16,3955.72,247.23,442.09,9.0,Electronics,36,18,0.6111,0.1111,38.73,0,5,5,5,15,555,Champions,3,Premium
C0002,Betty Brown,betty.brown2@example.com,2021-03-13,Dallas,Regular,1024,2023-09-22,8,938.62,117.33,178.46,5.0,Beauty,101,9,0.3333,0.1111,83.86,1,4,4,4,12,444,Loyal Customers,2,High Value
C0003,Jessica Johnson,jessica.johnson3@example.com,2021-10-30,New York,Premium,793,2023-06-05,14,4426.99,316.21,470.95,8.0,Clothing,210,18,0.6667,0.2222,32.08,1,3,5,5,13,355,Potential Loyalists,3,Premium
C0004,Linda Taylor,linda.taylor4@example.com,2021-04-22,San Jose,Premium,984,2022-10-02,14,4021.75,287.27,495.43,7.0,Food & Grocery,456,15,0.6,0.0667,20.46,1,2,5,5,12,255,Needs Attention,3,Premium
C0005,Michael Moore,michael.moore5@example.com,2021-10-15,San Antonio,Premium,808,2022-07-22,12,3158.84,263.24,483.42,6.0,Clothing,528,15,0.8667,0.2,17.09,1,2,5,5,12,255,Needs Attention,3,Premium
C0006,Charles Rodriguez,charles.rodriguez6@example.com,2021-08-18,New York,Regular,866,2022-06-14,3,267.83,89.28,118.08,3.0,Home & Garden,566,4,0.75,0.25,24.5,1,2,2,3,7,223,About to Sleep,0,Low Value
C0007,Jessica Hernandez,jessica.hernandez7@example.com,2021-12-24,Phoenix,Regular,738,2023-10-03,2,188.22,94.11,100.82,2.0,Health,90,5,1.0,0.6,330.0,0,4,1,2,7,412,Recent Customers,1,Mid Value
C0008,Matthew Hernandez,matthew.hernandez8@example.com,2021-04-21,Los Angeles,Regular,985,2023-12-07,9,772.85,85.87,159.73,6.0,Beauty,25,9,0.8889,0.0,80.5,0,5,5,4,14,554,Champions,2,High Value
C0009,Patricia Lopez,patricia.lopez9@example.com,2021-07-14,Philadelphia,Premium,901,2023-11-20,10,3209.8,320.98,474.36,7.0,Beauty,42,17,0.6471,0.4118,75.56,0,5,5,5,15,555,Champions,3,Premium
C0010,Betty Anderson,betty.anderson10@example.com,2021-01-23,Dallas,Occasional,1073,2022-05-23,4,179.59,44.9,80.55,4.0,Sports,588,5,0.6,0.2,28.33,1,1,3,2,6,132,Lost,0,Low Value
C0011,John Moore,john.moore11@example.com,2021-07-13,Phoenix,Premium,902,2023-11-17,8,2201.28,275.16,498.81,6.0,Toys,45,9,0.6667,0.1111,90.57,0,5,4,5,14,545,Champions,3,Premium
C0012,Michael Williams,michael.williams12@example.com,2021-10-23,New York,Occasional,800,2022-12-12,3,220.5,73.5,98.44,3.0,Sports,385,3,0.6667,0.0,165.5,1,2,2,3,7,223,About to Sleep,0,Low Value
C0013,John Davis,john.davis13@example.com,2021-05-29,Los Angeles,Regular,947,2022-10-21,5,588.64,117.73,192.75,5.0,Beauty,437,7,0.7143,0.2857,72.0,1,2,3,4,9,234,Needs Attention,2,High Value
C0014,Joseph Lopez,joseph.lopez14@example.com,2021-05-23,Chicago,New,953,2022-03-26,1,83.55,83.55,83.55,1.0,Automotive,646,3,1.0,0.6667,,1,1,1,1,3,111,Hibernating,0,Low Value
C0015,Michael Rodriguez,michael.rodriguez15@example.com,2021-07-01,Los Angeles,Occasional,914,2023-02-10,4,193.21,48.3,84.4,3.0,Toys,325,4,0.5,0.0,127.67,1,3,3,2,8,332,Potential Loyalists,1,Mid Value
C0016,Betty Davis,betty.davis16@example.com,2021-10-01,Chicago,Regular,822,2023-11-09,3,232.44,77.48,108.71,3.0,Sports,53,4,0.75,0.25,62.5,0,4,2,3,9,423,Potential Loyalists,1,Mid Value
C0017,William Moore,william.moore17@example.com,2021-07-14,Houston,New,901,2023-03-06,1,99.94,99.94,99.94,1.0,Electronics,301,1,0.0,0.0,,1,3,1,1,5,311,Promising,1,Mid Value
C0018,Linda Johnson,linda.johnson18@example.com,2021-01-29,Philadelphia,Occasional,1067,2022-07-25,4,143.35,35.84,38.39,4.0,Sports,525,5,0.6,0.2,61.0,1,2,3,2,7,232,Lost,0,Low Value
C0019,John Miller,john.miller19@example.com,2021-05-18,San Jose,New,958,2023-02-23,2,118.09,59.04,59.1,1.0,Home & Garden,312,2,0.5,0.0,266.0,1,3,1,2,6,312,Promising,1,Mid Value
C0020,Christopher Thomas,christopher.thomas20@example.com,2021-04-19,San Antonio,Occasional,987,2023-02-02,2,65.73,32.86,33.45,2.0,Clothing,333,4,0.5,0.5,260.0,1,3,1,1,5,311,Promising,1,Mid Value
C0021,William Jones,william.jones21@example.com,2021-03-15,Houston,New,1022,2022-05-01,1,117.09,117.09,117.09,1.0,Food & Grocery,610,1,1.0,0.0,,1,1,1,2,4,112,Hibernating,0,Low Value
C0022,Jessica Jackson,jessica.jackson22@example.com,2021-10-27,San Antonio,Occasional,796,2022-11-26,1,90.04,90.04,90.04,1.0,Food & Grocery,401,4,0.5,0.75,,1,2,1,1,4,211,About to Sleep,0,Low Value
C0023,Robert Taylor,robert.taylor23@example.com,2021-04-23,San Diego,Occasional,983,2022-12-04,5,242.8,48.56,79.89,4.0,Sports,393,5,0.8,0.0,45.25,1,2,3,3,8,233,Needs Attention,0,Low Value
C0024,Sandra Brown,sandra.brown24@example.com,2021-01-25,Chicago,Premium,1071,2023-11-14,10,2570.11,257.01,466.04,6.0,Clothing,48,11,0.5455,0.0909,75.11,0,4,5,5,14,455,Loyal Customers,3,Premium
C0025,Jessica Martin,jessica.martin25@example.com,2021-12-15,Los Angeles,Regular,747,2023-08-01,7,899.89,128.56,192.33,5.0,Home & Garden,153,10,0.4,0.3,83.17,1,3,4,4,11,344,Potential Loyalists,2,High Value
C0026,Lisa Anderson,lisa.anderson26@example.com,2021-07-15,Dallas,New,900,2022-06-16,1,132.28,132.28,132.28,1.0,Electronics,564,1,1.0,0.0,,1,2,1,2,5,212,About to Sleep,0,Low Value
C0027,Sandra Smith,sandra.smith27@example.com,2021-10-11,Los Angeles,Occasional,812,2023-12-03,5,211.97,42.39,65.47,4.0,Home & Garden,29,5,0.2,0.0,132.0,0,5,3,3,11,533,Loyal Customers,1,Mid Value
C0028,David Brown,david.brown28@example.com,2021-11-25,Phoenix,Occasional,767,2022-08-09,2,192.86,96.43,97.34,2.0,Sports,510,3,0.3333,0.3333,10.0,1,2,1,2,5,212,About to Sleep,0,Low Value
C0029,Joseph Smith,joseph.smith29@example.com,2021-03-22,Phoenix,New,1015,2022-07-21,2,143.43,71.72,108.62,2.0,Health,529,2,1.0,0.0,15.0,1,2,1,2,5,212,About to Sleep,0,Low Value
C0030,Ashley Brown,ashley.brown30@example.com,2021-09-17,Phoenix,Regular,836,2023-12-11,5,532.62,106.52,194.17,5.0,Books,21,7,0.7143,0.2857,159.75,0,5,3,3,11,533,Loyal Customers,2,High Value
C0031,Susan Garcia,susan.garcia31@example.com,2021-03-20,Dallas,Regular,1017,2023-12-09,6,742.11,123.68,199.61,4.0,Food & Grocery,23,7,0.4286,0.1429,110.6,0,5,4,4,13,544,Champions,2,High Value
C0032,David Thomas,david.thomas32@example.com,2021-11-03,New York,Premium,789,2023-12-23,13,3139.87,241.53,346.91,9.0,Home & Garden,9,18,0.5556,0.2778,59.75,0,5,5,5,15,555,Champions,3,Premium
C0033,Mark Martinez,mark.martinez33@example.com,2021-07-05,Houston,Premium,910,2023-12-29,11,3887.12,353.37,496.84,7.0,Toys,3,11,0.5455,0.0,58.5,0,5,5,5,15,555,Champions,3,Premium
